age,taille,poids,sport_licence,niveau_etude,region,smoker,nationalité_francaise,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
19,175.0,62.5,non,4,Île-de-France,oui,oui,0,78.7,4958,3.0,2.5068201193520885,0.19,2021-04-04,574.7797217537943,5306.473283539622,500.0
68,174.6,66.5,oui,8,Auvergne-Rhône-Alpes,oui,oui,2,227.8,3758,3.0,2.5068201193520885,0.68,2024-08-27,576.0,5306.473283539622,29093.676396627423
42,169.7,63.4,oui,7,Provence-Alpes-Côte d’Azur,non,non,2,19.5,2091,3.0,3.0,0.92,2020-10-17,574.7797217537943,5000.0,500.0
31,163.8,64.9,oui,8,Bretagne,oui,oui,1,238.7,1540,3.0,3.0,0.9,2023-08-29,818.0,5000.0,22143.694141361557
63,165.0,56.9,oui,0,Hauts-de-France,oui,oui,0,290.4,1820,3.0,2.5068201193520885,0.43,2020-10-18,404.0,5306.473283539622,500.0
68,165.0,52.8,oui,7,Normandie,oui,non,3,220.7,1684,6.0,4.0,0.36,2023-09-24,414.0,5000.0,4324.856803286908
57,171.9,36.1,oui,0,Bretagne,non,non,2,202.5,3140,3.0,0.0,0.37,2020-11-17,629.0,5306.473283539622,500.0
25,172.1,82.2,non,4,Corse,oui,oui,3,139.9,3387,6.0,2.5068201193520885,0.0,2023-07-05,511.0,5306.473283539622,500.0
40,166.6,64.4,non,8,Normandie,oui,non,2,276.7,2622,2.0,2.5068201193520885,0.3,2024-02-06,746.0,5000.0,500.0
25,187.4,43.0,non,7,Hauts-de-France,oui,non,-1,287.2,3158,0.0,3.0,0.42,2021-12-16,574.7797217537943,5306.473283539622,500.0
34,160.0,84.2,non,0,Île-de-France,non,oui,1,215.1,1959,0.0,3.0,0.54,2025-05-29,574.7797217537943,5000.0,10854.07936402302
48,171.0,50.1,non,4,Bretagne,oui,non,1,173.1,3074,3.0,2.5068201193520885,0.17,2023-11-10,574.7797217537943,5000.0,500.0
44,163.2,62.4,oui,5,Occitanie,oui,non,3,281.4,3403,2.0,2.5068201193520885,0.99,2022-11-30,574.7797217537943,5306.473283539622,500.0
72,159.3,86.3,oui,0,Normandie,oui,oui,2,244.7,4181,2.0,2.5068201193520885,0.33,2021-04-30,574.7797217537943,5000.0,7322.695420891237
55,180.5,99.2,non,7,Île-de-France,oui,oui,2,329.2,500,6.0,2.0,0.96,2021-05-17,458.0,5000.0,6793.452284371787
72,154.5,53.2,oui,4,Corse,oui,non,1,320.2,2744,0.0,2.5068201193520885,0.38,2020-04-07,574.7797217537943,5000.0,500.0
51,169.1,71.5,oui,4,Hauts-de-France,oui,oui,2,168.4,932,3.0,2.5068201193520885,0.86,2020-03-17,692.0,5000.0,500.0
67,159.4,83.3,oui,7,Normandie,oui,oui,2,231.6,1688,3.0,2.5068201193520885,0.52,2020-02-26,574.7797217537943,5306.473283539622,12691.20933726451
70,180.7,66.5,oui,8,Provence-Alpes-Côte d’Azur,oui,non,5,395.5,3294,6.0,2.5068201193520885,0.53,2025-01-16,549.0,5306.473283539622,14959.704183298292
59,176.7,68.4,non,8,Auvergne-Rhône-Alpes,oui,non,2,469.5,3307,2.0,5.0,0.25,2023-11-20,574.7797217537943,5000.0,500.0
48,173.1,69.6,oui,8,Corse,oui,oui,0,250.4,3327,3.0,4.0,0.24,2024-02-19,326.0,5306.473283539622,931.2893411604468
